technical_novelty_score_mean,similarity_std
3,tensor(2.1353)
2.4,tensor(2.1034)
2.75,tensor(1.6677)
2.8,tensor(1.5110)
2.5,tensor(1.7135)
2,tensor(1.6540)
2.75,tensor(1.7285)
2,tensor(1.8200)
2,tensor(1.4851)
2.5,tensor(1.4136)
2,tensor(1.5667)
1.5,tensor(nan)
2.5,tensor(1.9874)
2,tensor(1.5020)
2.6,tensor(1.9931)
2.25,tensor(2.0502)
2.5,tensor(1.5447)
2,tensor(1.8262)
2.6667,tensor(1.0061)
2,tensor(1.8670)
3.25,tensor(1.6654)
2.5,tensor(1.7561)
2.75,tensor(1.8396)
2.5,tensor(1.5536)
2,tensor(1.9722)
2.3333,tensor(1.8908)
3.25,tensor(1.8891)
2.5,tensor(1.1793)
2.5,tensor(2.0980)
2.25,tensor(1.8744)
2.3333,tensor(1.9038)
3,tensor(2.4639)
2.4,tensor(2.3777)
2,tensor(1.6637)
2.75,tensor(1.3450)
2.25,tensor(1.0701)
2.25,tensor(1.9345)
2.25,tensor(1.9828)
3,tensor(2.1036)
2.5,tensor(1.5149)
2.5,tensor(2.2183)
2.5,tensor(1.7124)
3,tensor(1.9102)
2.75,tensor(1.4990)
2.3333,tensor(1.9064)
1.75,tensor(1.4287)
2.6667,tensor(nan)
2.5,tensor(1.4994)
2.5,tensor(2.1771)
2.5,tensor(1.6612)
2.25,tensor(1.7584)
2,tensor(1.8809)
2.75,tensor(1.3957)
2.5,tensor(1.6928)
2.6,tensor(1.6194)
2.25,tensor(1.0503)
2,tensor(1.6706)
3.25,tensor(1.5988)
2,tensor(1.9595)
2.5,tensor(1.8629)
2.6667,tensor(1.6453)
2,tensor(1.3837)
2.5,tensor(1.7332)
2.25,tensor(1.2126)
2.75,tensor(2.8886)
2.5,tensor(1.6187)
2.75,tensor(1.5340)
2.5,tensor(1.9821)
2.5,tensor(1.5365)
2,tensor(1.6917)
2.2,tensor(1.6814)
2.5,tensor(1.8970)
1.75,tensor(1.7556)
2.75,tensor(1.6113)
2,tensor(1.9543)
2.6667,tensor(1.7538)
2.75,tensor(2.1190)
2.5,tensor(1.3262)
2,tensor(1.3862)
3,tensor(1.8544)
2.6,tensor(1.9342)
2.5,tensor(1.8189)
3,tensor(1.5965)
1.6667,tensor(1.6936)
2.4,tensor(1.9224)
3,tensor(1.3906)
2.5,tensor(1.7598)
1.5,tensor(1.7568)
2.6667,tensor(1.2660)
2.5,tensor(1.3417)
2.5,tensor(1.8392)
3.25,tensor(2.1239)
2.2,tensor(1.5740)
2.25,tensor(1.8332)
2.3333,tensor(1.0878)
2.75,tensor(1.6437)
2,tensor(nan)
2.75,tensor(1.7491)
2,tensor(1.4544)
2.75,tensor(1.4439)
2.25,tensor(1.6673)
2.6667,tensor(1.8584)
2.5,tensor(1.9385)
2.6667,tensor(1.7487)
2.75,tensor(1.8448)
2.25,tensor(1.8446)
2.6667,tensor(1.7699)
2,tensor(0.8523)
2.5,tensor(1.5493)
1.5,tensor(1.3818)
2.6667,tensor(1.3832)
1.5,tensor(1.8049)
2.3333,tensor(1.8729)
1.6667,tensor(1.9278)
1.5,tensor(2.1186)
2.25,tensor(1.4766)
2.3333,tensor(1.6650)
1.3333,tensor(2.3646)
2.5,tensor(1.7277)
3,tensor(1.7724)
2.25,tensor(1.7409)
2,tensor(2.3604)
2.4,tensor(0.0999)
2,tensor(1.8158)
2.5,tensor(1.9657)
2.75,tensor(1.2378)
2.5,tensor(1.8943)
1.6667,tensor(1.1585)
2.6667,tensor(1.7005)
2.75,tensor(1.6863)
2.5,tensor(1.7038)
2,tensor(2.1823)
2.75,tensor(1.3097)
2.75,tensor(2.3719)
3.25,tensor(1.7633)
3,tensor(1.2270)
1.75,tensor(2.0007)
2.5,tensor(1.5971)
3,tensor(1.3434)
2.75,tensor(1.9382)
2.75,tensor(2.0954)
2.75,tensor(1.9484)
2.4,tensor(1.5572)
2.75,tensor(1.3480)
2,tensor(1.0832)
2.5,tensor(1.9356)
2.25,tensor(1.8372)
2,tensor(1.3975)
2.75,tensor(1.8872)
2.25,tensor(1.9756)
2.75,tensor(1.6126)
2.5,tensor(1.6179)
2.75,tensor(1.5160)
3,tensor(2.0754)
2,tensor(1.5814)
2,tensor(2.1255)
2.25,tensor(1.6185)
2.5,tensor(nan)
2,tensor(1.8059)
2.25,tensor(nan)
2,tensor(1.8402)
3,tensor(1.5875)
2.25,tensor(1.6548)
2.6667,tensor(1.7127)
2,tensor(1.9490)
2.3333,tensor(1.3362)
2.5,tensor(2.0209)
2.5,tensor(1.8957)
2.5,tensor(1.5009)
2.75,tensor(1.5166)
1.75,tensor(1.4372)
2,tensor(1.3102)
1,tensor(1.6428)
2.25,tensor(1.9232)
2.75,tensor(1.4752)
2.75,tensor(1.6584)
2.25,tensor(1.8228)
2.6667,tensor(1.8053)
1.6667,tensor(1.5015)
2.5,tensor(1.7727)
2.25,tensor(1.4931)
2,tensor(1.3749)
2.2,tensor(1.5908)
2.25,tensor(1.5683)
2.3333,tensor(1.7308)
2.25,tensor(1.5059)
2.5,tensor(1.4797)
1.5,tensor(1.6709)
2,tensor(1.5735)
2.4,tensor(1.2951)
2,tensor(1.9773)
1.6667,tensor(1.8582)
2,tensor(2.2736)
2.75,tensor(1.9254)
2.25,tensor(1.7388)
1.75,tensor(1.7285)
1.75,tensor(1.6052)
2.75,tensor(1.9848)
2.6667,tensor(1.9372)
2.6667,tensor(1.1972)
2,tensor(1.5542)
2,tensor(2.4045)
2.5,tensor(1.7060)
1.3333,tensor(1.4577)
2.6667,tensor(2.2583)
2.25,tensor(1.6145)
2.75,tensor(1.2724)
2.5,tensor(1.6716)
2.6667,tensor(1.5522)
3,tensor(2.2609)
2,tensor(1.9711)
1.75,tensor(1.7674)
2.25,tensor(1.7374)
2,tensor(1.7390)
3.5,tensor(1.8974)
1.8,tensor(1.6911)
2.25,tensor(1.2950)
2.6667,tensor(1.7138)
2.25,tensor(2.0947)
2,tensor(1.3737)
2.5,tensor(2.0260)
3,tensor(2.0237)
2.5,tensor(2.2489)
2.25,tensor(2.2023)
2,tensor(1.9918)
3,tensor(2.1466)
2,tensor(1.5634)
2.5,tensor(2.1301)
2.75,tensor(1.9481)
2.25,tensor(1.6032)
3,tensor(1.8338)
2.5,tensor(1.7571)
2,tensor(1.6057)
3,tensor(1.8033)
1.75,tensor(1.7250)
1.5,tensor(1.1315)
