technical_novelty_score_mean,similarity_std,type
2.2,1.574,Rejected Submissions
2.25,1.8332,Rejected Submissions
2.3333,1.0878,Rejected Submissions
2.75,1.6437,Rejected Submissions
2,nan,Rejected Submissions
2.75,1.7491,Rejected Submissions
2,1.4544,Rejected Submissions
2.75,1.4439,Rejected Submissions
2.25,1.6673,Rejected Submissions
2.6667,1.8584,Rejected Submissions
2.5,1.9385,Rejected Submissions
2.6667,1.7487,Rejected Submissions
2.75,1.8448,Rejected Submissions
2.25,1.8446,Rejected Submissions
2.6667,1.7699,Rejected Submissions
2,0.8523,Rejected Submissions
2.5,1.5493,Rejected Submissions
1.5,1.3818,Rejected Submissions
2.6667,1.3832,Rejected Submissions
1.5,1.8049,Rejected Submissions
2.3333,1.8729,Rejected Submissions
1.6667,1.9278,Rejected Submissions
1.5,2.1186,Rejected Submissions
2.25,1.4766,Rejected Submissions
2.3333,1.665,Rejected Submissions
1.3333,2.3646,Rejected Submissions
2.5,1.7277,Rejected Submissions
3,1.7724,Rejected Submissions
2.25,1.7409,Rejected Submissions
2,2.3604,Rejected Submissions
2.4,0.0999,Rejected Submissions
2,1.8158,Rejected Submissions
2.5,1.9657,Rejected Submissions
2.75,1.2378,Rejected Submissions
2.5,1.8943,Rejected Submissions
1.6667,1.1585,Rejected Submissions
2.6667,1.7005,Rejected Submissions
2.75,1.6863,Rejected Submissions
2.5,1.7038,Rejected Submissions
2,2.1823,Rejected Submissions
2.75,1.3097,Rejected Submissions
2.75,2.3719,Rejected Submissions
3.25,1.7633,Rejected Submissions
3,1.227,Rejected Submissions
1.75,2.0007,Rejected Submissions
2.5,1.5971,Rejected Submissions
3,1.3434,Rejected Submissions
2.75,1.9382,Rejected Submissions
2.75,2.0954,Rejected Submissions
2.75,1.9484,Rejected Submissions
2.4,1.5572,Rejected Submissions
2.75,1.348,Rejected Submissions
2,1.0832,Rejected Submissions
2.5,1.9356,Rejected Submissions
2.25,1.8372,Rejected Submissions
2,1.3975,Rejected Submissions
2.75,1.8872,Rejected Submissions
2.25,1.9756,Rejected Submissions
2.75,1.6126,Rejected Submissions
2.5,1.6179,Rejected Submissions
2.75,1.516,Rejected Submissions
3,2.0754,Rejected Submissions
2,1.5814,Rejected Submissions
2,2.1255,Rejected Submissions
2.25,1.6185,Rejected Submissions
2.5,nan,Rejected Submissions
2,1.8059,Rejected Submissions
2.25,nan,Rejected Submissions
2,1.8402,Rejected Submissions
3,1.5875,Rejected Submissions
2.25,1.6548,Rejected Submissions
2.6667,1.7127,Rejected Submissions
2,1.949,Rejected Submissions
2.3333,1.3362,Rejected Submissions
2.5,2.0209,Rejected Submissions
2.5,1.8957,Rejected Submissions
2.5,1.5009,Rejected Submissions
2.75,1.5166,Rejected Submissions
1.75,1.4372,Rejected Submissions
2,1.3102,Rejected Submissions
1,1.6428,Rejected Submissions
2.25,1.9232,Rejected Submissions
2.75,1.4752,Rejected Submissions
2.75,1.6584,Rejected Submissions
2.25,1.8228,Rejected Submissions
2.6667,1.8053,Rejected Submissions
1.6667,1.5015,Rejected Submissions
2.5,1.7727,Rejected Submissions
2.25,1.4931,Rejected Submissions
2,1.3749,Rejected Submissions
2.2,1.5908,Rejected Submissions
2.25,1.5683,Rejected Submissions
2.3333,1.7308,Rejected Submissions
2.25,1.5059,Rejected Submissions
2.5,1.4797,Rejected Submissions
1.5,1.6709,Rejected Submissions
2,1.5735,Rejected Submissions
2.4,1.2951,Rejected Submissions
2,1.9773,Rejected Submissions
1.6667,1.8582,Rejected Submissions
2,2.2736,Rejected Submissions
2.75,1.9254,Rejected Submissions
2.25,1.7388,Rejected Submissions
1.75,1.7285,Rejected Submissions
1.75,1.6052,Rejected Submissions
2.75,1.9848,Rejected Submissions
2.6667,1.9372,Rejected Submissions
2.6667,1.1972,Rejected Submissions
2,1.5542,Rejected Submissions
2,2.4045,Rejected Submissions
2.5,1.706,Rejected Submissions
1.3333,1.4577,Rejected Submissions
2.6667,2.2583,Rejected Submissions
2.25,1.6145,Rejected Submissions
2.75,1.2724,Rejected Submissions
2.5,1.6716,Rejected Submissions
2.6667,1.5522,Rejected Submissions
3,2.2609,Rejected Submissions
2,1.9711,Rejected Submissions
1.75,1.7674,Rejected Submissions
2.25,1.7374,Rejected Submissions
2,1.739,Rejected Submissions
3.5,1.8974,Rejected Submissions
1.8,1.6911,Rejected Submissions
2.25,1.295,Rejected Submissions
2.6667,1.7138,Rejected Submissions
2.25,2.0947,Rejected Submissions
2,1.3737,Rejected Submissions
2.5,2.026,Rejected Submissions
3,2.0237,Rejected Submissions
2.5,2.2489,Rejected Submissions
2.25,2.2023,Rejected Submissions
2,1.9918,Rejected Submissions
3,2.1466,Rejected Submissions
2,1.5634,Rejected Submissions
2.5,2.1301,Rejected Submissions
2.75,1.9481,Rejected Submissions
2.25,1.6032,Rejected Submissions
3,1.8338,Rejected Submissions
2.5,1.7571,Rejected Submissions
2,1.6057,Rejected Submissions
3,1.8033,Rejected Submissions
1.75,1.725,Rejected Submissions
1.5,1.1315,Rejected Submissions
2.3333,2.0197,Rejected Submissions
3.3333,1.7439,Rejected Submissions
3,1.6172,Rejected Submissions
2.3333,2.0481,Rejected Submissions
2.5,1.7889,Rejected Submissions
