technical_novelty_score_mean,similarity_std,type
1.25,1.7146,Rejected Submissions
3,1.596,Rejected Submissions
2.25,1.2749,Rejected Submissions
2.5,1.6107,Rejected Submissions
2.5,2.2326,Rejected Submissions
2.75,1.8816,Rejected Submissions
2,1.649,Rejected Submissions
2.6,1.8279,Rejected Submissions
2,1.4096,Rejected Submissions
2.3333,1.3218,Rejected Submissions
2,nan,Rejected Submissions
2.25,2.3268,Rejected Submissions
2.8,1.6907,Rejected Submissions
1.6667,2.2093,Rejected Submissions
2.3333,1.5019,Rejected Submissions
2.25,1.5514,Rejected Submissions
2,1.967,Rejected Submissions
3.3333,1.5645,Rejected Submissions
2.5,1.752,Rejected Submissions
2,1.4493,Rejected Submissions
2.75,1.3332,Rejected Submissions
2.25,1.8304,Rejected Submissions
3.25,1.8764,Rejected Submissions
2.6667,1.8466,Rejected Submissions
1.75,1.9356,Rejected Submissions
2.25,1.4423,Rejected Submissions
2.5,1.7016,Rejected Submissions
3.25,1.7021,Rejected Submissions
2.5,1.6619,Rejected Submissions
3,1.4145,Rejected Submissions
1.75,1.5146,Rejected Submissions
2.5,1.8355,Rejected Submissions
2.25,1.8285,Rejected Submissions
2.25,1.6306,Rejected Submissions
2.6667,1.6185,Rejected Submissions
2.5,1.7473,Rejected Submissions
2,2.1635,Rejected Submissions
2.3333,1.9347,Rejected Submissions
2,1.6542,Rejected Submissions
2.5,0.8935,Rejected Submissions
2.6667,2.0393,Rejected Submissions
2,1.4246,Rejected Submissions
2,1.8756,Rejected Submissions
2.5,1.9066,Rejected Submissions
2.6667,1.4227,Rejected Submissions
2,1.424,Rejected Submissions
2.25,1.9705,Rejected Submissions
2.5,1.7936,Rejected Submissions
2,2.1381,Rejected Submissions
3.25,1.8024,Rejected Submissions
2,2.8675,Rejected Submissions
2,1.3537,Rejected Submissions
2,1.7555,Rejected Submissions
3,2.0914,Rejected Submissions
2,1.763,Rejected Submissions
2.75,1.6765,Rejected Submissions
2.5,1.455,Rejected Submissions
2,1.7116,Rejected Submissions
2.6667,2.119,Rejected Submissions
3,1.9726,Rejected Submissions
2,1.855,Rejected Submissions
2,1.5007,Rejected Submissions
2.25,2.05,Rejected Submissions
2,2.0961,Rejected Submissions
2.25,1.7638,Rejected Submissions
2.5,2.1063,Rejected Submissions
2.25,1.6302,Rejected Submissions
2.25,1.8849,Rejected Submissions
2.5,1.3168,Rejected Submissions
3,1.5549,Rejected Submissions
2.75,1.8252,Rejected Submissions
2.6667,1.8572,Rejected Submissions
2.5,1.0423,Rejected Submissions
2.2,1.4631,Rejected Submissions
2.5,1.237,Rejected Submissions
2.3333,1.5365,Rejected Submissions
2.75,1.8273,Rejected Submissions
1.75,0.8685,Rejected Submissions
3,1.6078,Rejected Submissions
2.5,1.8615,Rejected Submissions
2,1.7612,Rejected Submissions
2.4,1.7347,Rejected Submissions
2.25,1.731,Rejected Submissions
2.25,1.9948,Rejected Submissions
2.3333,2.2188,Rejected Submissions
2.5,1.6994,Rejected Submissions
1.75,1.8163,Rejected Submissions
2.25,2.6902,Rejected Submissions
2.2,1.4729,Rejected Submissions
2,1.6485,Rejected Submissions
2.5,2.4433,Rejected Submissions
2.5,1.9335,Rejected Submissions
2.75,1.7364,Rejected Submissions
2.75,2.2133,Rejected Submissions
2.5,nan,Rejected Submissions
2.4,1.5402,Rejected Submissions
2.25,1.9276,Rejected Submissions
2.5,2.0467,Rejected Submissions
3,1.7207,Rejected Submissions
2.5,1.4593,Rejected Submissions
2.3333,1.7182,Rejected Submissions
2,1.5603,Rejected Submissions
3,2.3314,Rejected Submissions
2.75,1.5378,Rejected Submissions
2.4,2.5422,Rejected Submissions
2.4,2.1406,Rejected Submissions
1,1.9376,Rejected Submissions
2,1.5562,Rejected Submissions
1.6667,1.2729,Rejected Submissions
2.4,1.3672,Rejected Submissions
1.8,1.6663,Rejected Submissions
1.75,1.9295,Rejected Submissions
1.75,1.6862,Rejected Submissions
2,1.7557,Rejected Submissions
2.75,1.6046,Rejected Submissions
1,1.5873,Rejected Submissions
2.5,1.3598,Rejected Submissions
2.6667,1.7563,Rejected Submissions
2.75,1.7129,Rejected Submissions
2.5,1.4882,Rejected Submissions
2.5,1.8592,Rejected Submissions
2.25,2.1506,Rejected Submissions
3,1.455,Rejected Submissions
2.75,1.3066,Rejected Submissions
2,2.1302,Rejected Submissions
2.75,2.1065,Rejected Submissions
2,1.8007,Rejected Submissions
2.6667,1.4796,Rejected Submissions
2.6667,1.3542,Rejected Submissions
2.5,1.8202,Rejected Submissions
2.25,2.7512,Rejected Submissions
3,1.7348,Rejected Submissions
2,2.0061,Rejected Submissions
