title,similarity_mean,similarity_std
BS49l-B5Bql,tensor(9.9035),tensor(1.8768)
CAjxVodl_v,tensor(9.5688),tensor(1.5753)
CALFyKVs87,tensor(10.9354),tensor(2.0378)
ccWaPGl9Hq,tensor(9.5422),tensor(1.5695)
cmt-6KtR4c4,tensor(10.4802),tensor(1.6821)
cU8rknuhxc,tensor(nan),tensor(nan)
CuV_qYkmKb3,tensor(9.4978),tensor(1.5502)
CyKHoKyvgnp,tensor(9.8981),tensor(1.8808)
CzceR82CYc,tensor(nan),tensor(nan)
D6nH3719vZy,tensor(9.8443),tensor(1.5530)
D78Go4hVcxO,tensor(10.5809),tensor(2.0547)
dEwfxt14bca,tensor(10.3047),tensor(1.9154)
dFbKQaRk15w,tensor(10.4905),tensor(1.7250)
DfMqlB0PXjM,tensor(10.4319),tensor(1.7379)
dgxFTxuJ50e,tensor(10.0868),tensor(1.7120)
DIjCrlsu6Z,tensor(9.7169),tensor(1.7072)
DmpCfq6Mg39,tensor(9.9954),tensor(1.8309)
DNRADop4ksB,tensor(10.0835),tensor(1.8178)
DTkEfj0Ygb8,tensor(10.4083),tensor(1.6986)
Dup_dDqkZC5,tensor(10.3048),tensor(1.5650)
dUV91uaXm3,tensor(10.8246),tensor(2.0922)
dwg5rXg1WS_,tensor(11.1185),tensor(2.0384)
EAy7C1cgE1L,tensor(10.4019),tensor(1.8360)
eBS-3YiaIL-,tensor(10.8569),tensor(2.0951)
EDeVYpT42oS,tensor(10.2778),tensor(1.5933)
Ek7PSN7Y77z,tensor(9.9577),tensor(1.6568)
eMudnJsb1T5,tensor(10.3377),tensor(1.5550)
eW5R4Cek6y6,tensor(10.1054),tensor(1.5517)
FEDfGWVZYIn,tensor(10.2361),tensor(1.9799)
fILj7WpI-g,tensor(10.3855),tensor(2.3601)
Fl3Mg_MZR-,tensor(9.8937),tensor(1.6064)
FLA55mBee6Q,tensor(10.3043),tensor(2.4665)
FRxhHdnxt1,tensor(10.8391),tensor(2.3384)
g1SzIRLQXMM,tensor(10.2742),tensor(1.8203)
g5ynW-jMq4M,tensor(10.6714),tensor(1.9291)
g8NJR6fCCl8,tensor(9.8944),tensor(1.5972)
gPvB4pdu_Z,tensor(10.5622),tensor(2.1825)
GQjaI9mLet,tensor(10.6203),tensor(1.6946)
H0oaWl6THa,tensor(10.0042),tensor(1.7960)
HbtFCX2PLq0,tensor(10.5701),tensor(1.8181)
HFmAukZ-k-2,tensor(10.2972),tensor(1.5972)
hfU7Ka5cfrC,tensor(8.0101),tensor(nan)
hR_SMu8cxCV,tensor(10.1579),tensor(1.8158)
HTx7vrlLBEj,tensor(10.2209),tensor(1.6683)
I1hQbx10Kxn,tensor(10.0184),tensor(2.0249)
ieNJYujcGDO,tensor(10.7465),tensor(1.9671)
iEvAf8i6JjO,tensor(9.8186),tensor(1.5320)
iLHOIDsPv1P,tensor(10.3419),tensor(1.9870)
iMH1e5k7n3L,tensor(10.4178),tensor(1.5989)
iMSjopcOn0p,tensor(10.1962),tensor(1.9993)
IwJPj2MBcIa,tensor(10.8389),tensor(1.8932)
J4iSIR9fhY0,tensor(9.8716),tensor(1.7466)
JGO8CvG5S9,tensor(11.2499),tensor(2.2090)
JprM0p-q0Co,tensor(10.2211),tensor(1.7435)
JSR-YDImK95,tensor(10.8525),tensor(1.8929)
jXKKDEi5vJt,tensor(9.9658),tensor(1.6155)
K0E_F0gFDgA,tensor(10.3642),tensor(1.6068)
KhLK0sHMgXK,tensor(10.2104),tensor(1.5216)
KxbhdyiPHE,tensor(7.1700),tensor(0.5756)
kZ0UYdhqkNY,tensor(10.7758),tensor(1.9477)
l3SDgUh7qZO,tensor(10.0829),tensor(1.5514)
L3_SsSNMmy,tensor(10.5161),tensor(1.7363)
LBvk4QWIUpm,tensor(10.1930),tensor(1.6320)
LI2bhrE_2A,tensor(10.3259),tensor(1.6248)
lnEaqbTJIRz,tensor(nan),tensor(nan)
lpkGn3k2YdD,tensor(10.4078),tensor(1.6988)
LtKcMgGOeLt,tensor(10.0299),tensor(1.7922)
LzQQ89U1qm_,tensor(10.1414),tensor(1.7307)
MEpKGLsY8f,tensor(9.6916),tensor(1.4851)
metRpM4Zrcb,tensor(10.5607),tensor(1.8397)
mHu2vIds_-b,tensor(9.8308),tensor(1.7957)
MkTPtnjeYTV,tensor(10.5521),tensor(2.6357)
mmUA7_O9mjY,tensor(10.2359),tensor(1.8305)
Nfl-iXa-y7R,tensor(10.7002),tensor(1.7039)
nhnJ3oo6AB,tensor(9.8655),tensor(1.5975)
nHpzE7DqAnG,tensor(10.4764),tensor(0.9868)
O1DEtITim__,tensor(10.2064),tensor(1.6796)
oDFvtxzPOx,tensor(11.4510),tensor(2.0472)
OIs3SxU5Ynl,tensor(10.1080),tensor(1.8718)
pFyXqxChZc,tensor(10.4485),tensor(1.8742)
PLDOnFoVm4,tensor(10.0303),tensor(1.8899)
POvMvLi91f,tensor(10.0630),tensor(1.8709)
PRZoSmCinhf,tensor(10.2087),tensor(1.9815)
qTHBE7E9iej,tensor(9.9991),tensor(1.9253)
qwBK94cP1y,tensor(9.5278),tensor(1.3902)
RxplU3vmBx,tensor(9.8365),tensor(1.9385)
shpkpVXzo3h,tensor(9.9912),tensor(1.4254)
siCt4xZn5Ve,tensor(10.1385),tensor(1.6594)
SidzxAb9k30,tensor(9.9547),tensor(1.7445)
sOK-zS6WHB,tensor(9.7893),tensor(1.3860)
sRZ3GhmegS,tensor(10.1847),tensor(1.9179)
SsPCtEY6yCl,tensor(11.7949),tensor(2.2928)
t5EmXZ3ZLR,tensor(9.8445),tensor(1.6396)
t8O-4LKFVx,tensor(null),tensor(null)
T8vZHIRTrY,tensor(10.2077),tensor(1.7958)
T8wHz4rnuGL,tensor(11.2348),tensor(1.7135)
tBtoZYKd9n,tensor(10.0558),tensor(1.5864)
tD7eCtaSkR,tensor(10.6781),tensor(2.5673)
TIdIXIpzhoI,tensor(9.5779),tensor(1.3363)
TrjbxzRcnf-,tensor(10.7767),tensor(1.6365)
tV3N0DWMxCg,tensor(10.2736),tensor(1.9602)
uorVGbWV5sw,tensor(10.4629),tensor(1.5688)
US2rTP5nm_,tensor(10.6864),tensor(1.6229)
V3C8p78sDa,tensor(10.4246),tensor(1.9133)
vA7doMdgi75,tensor(10.3488),tensor(2.3526)
vds4SNooOe,tensor(10.6185),tensor(1.8394)
vrW3tvDfOJQ,tensor(11.0506),tensor(1.8174)
vSix3HPYKSU,tensor(10.4460),tensor(1.9793)
vwj6aUeocyf,tensor(10.4255),tensor(1.9743)
w60btE_8T2m,tensor(10.7155),tensor(1.8007)
W9G_ImpHlQd,tensor(10.4730),tensor(1.8466)
wENMvIsxNN,tensor(10.7220),tensor(1.4501)
wQfgfb8VKTn,tensor(10.9760),tensor(1.8133)
wv6g8fWLX2q,tensor(10.1794),tensor(1.5318)
WvOGCEAQhxl,tensor(10.0897),tensor(1.9248)
X6D9bAHhBQ1,tensor(11.2554),tensor(1.8209)
X8cLTHexYyY,tensor(10.1509),tensor(1.6569)
xDIvIqQ3DXD,tensor(11.1739),tensor(1.6685)
XEW8CQgArno,tensor(10.8033),tensor(1.9905)
XWODe7ZLn8f,tensor(9.7161),tensor(1.5211)
X_ch3VrNSRg,tensor(10.1264),tensor(1.7598)
X_hByk2-5je,tensor(10.1018),tensor(1.9068)
Y4cs1Z3HnqL,tensor(9.7168),tensor(1.5771)
yeP_zx9vqNm,tensor(10.0201),tensor(1.5087)
YJ1WzgMVsMt,tensor(10.2912),tensor(1.9562)
yKIAXjkJc2F,tensor(10.9924),tensor(1.9611)
YZHES8wIdE,tensor(9.6324),tensor(1.4578)
z1-I6rOKv1S,tensor(11.1506),tensor(1.9665)
ZkC8wKoLbQ7,tensor(10.2148),tensor(1.5794)
zNHzqZ9wrRB,tensor(10.6809),tensor(1.7560)
zXM0b4hi5_B,tensor(10.4866),tensor(1.7957)
zz9hXVhf40,tensor(10.5855),tensor(1.8659)
_xwr8gOBeV1,tensor(10.8369),tensor(2.0672)
